ward,population,black_pop,black_per_capita,percent_home_searches,total_home_searches,home_searchers_per_1000_capita,home_search_ratio
1,76197,24794,0.32500000000000001,16.003554952579925,11,0.14436263894904,0.064418
2,79915,10079,0.126,6.2044551508463712,1,0.012513,0.005584
3,77152,3860,0.05,2.4620853773199887,2,0.025923,0.011567
4,75773,44459,0.58699999999999997,28.904882329736665,20,0.26394626054135378,0.11777840263519852
5,74308,56489,0.76,37.423697735263829,39,0.52484254723582924,0.23419584244778421
6,76598,31842,0.41599999999999998,1.7854077253218883,13,0.16971722499281966,0.075731
7,71068,67471,0.94899999999999995,4.072961373390557,47,0.6613384364270839,0.29510319443013322
8,70712,66131,0.93500000000000005,4.0128755364806867,31,0.43839800882452767,0.19562246152646215
